PidLidAddressBookProviderArrayType,0x00008029,PtypInteger32,0x0003
PidLidAddressBookProviderEmailList,0x00008028,PtypMultipleInteger32,0x1003
PidLidAddressCountryCode,0x000080DD,PtypString,0x001F
PidLidAgingDontAgeMe,0x0000850E,PtypBoolean,0x000B
PidLidAllAttendeesString,0x00008238,PtypString,0x001F
PidLidAllowExternalCheck,0x00008246,PtypBoolean,0x000B
PidLidAnniversaryEventEntryId,0x0000804E,PtypBinary,0x0102
PidLidAppointmentAuxiliaryFlags,0x00008207,PtypInteger32,0x0003
PidLidAppointmentColor,0x00008214,PtypInteger32,0x0003
PidLidAppointmentCounterProposal,0x00008257,PtypBoolean,0x000B
PidLidAppointmentDuration,0x00008213,PtypInteger32,0x0003
PidLidAppointmentEndDate,0x00008211,PtypTime,0x0040
PidLidAppointmentEndTime,0x00008210,PtypTime,0x0040
PidLidAppointmentEndWhole,0x0000820E,PtypTime,0x0040
PidLidAppointmentLastSequence,0x00008203,PtypInteger32,0x0003
PidLidAppointmentMessageClass,0x00000024,PtypString,0x001F
PidLidAppointmentNotAllowPropose,0x0000825A,PtypBoolean,0x000B
PidLidAppointmentProposalNumber,0x00008259,PtypInteger32,0x0003
PidLidAppointmentProposedDuration,0x00008256,PtypInteger32,0x0003
PidLidAppointmentProposedEndWhole,0x00008251,PtypTime,0x0040
PidLidAppointmentProposedStartWhole,0x00008250,PtypTime,0x0040
PidLidAppointmentRecur,0x00008216,PtypBinary,0x0102
PidLidAppointmentReplyName,0x00008230,PtypString,0x001F
PidLidAppointmentReplyTime,0x00008220,PtypTime,0x0040
PidLidAppointmentSequence,0x00008201,PtypInteger32,0x0003
PidLidAppointmentSequenceTime,0x00008202,PtypTime,0x0040
PidLidAppointmentStartDate,0x00008212,PtypTime,0x0040
PidLidAppointmentStartTime,0x0000820F,PtypTime,0x0040
PidLidAppointmentStartWhole,0x0000820D,PtypTime,0x0040
PidLidAppointmentStateFlags,0x00008217,PtypInteger32,0x0003
PidLidAppointmentSubType,0x00008215,PtypBoolean,0x000B
PidLidAppointmentTimeZoneDefinitionEndDisplay,0x0000825F,PtypBinary,0x0102
PidLidAppointmentTimeZoneDefinitionRecur,0x00008260,PtypBinary,0x0102
PidLidAppointmentTimeZoneDefinitionStartDisplay,0x0000825E,PtypBinary,0x0102
PidLidAppointmentUnsendableRecipients,0x0000825D,PtypBinary,0x0102
PidLidAppointmentUpdateTime,0x00008226,PtypTime,0x0040
PidLidAttendeeCriticalChange,0x00000001,PtypTime,0x0040
PidLidAutoFillLocation,0x0000823A,PtypBoolean,0x000B
PidLidAutoLog,0x00008025,PtypBoolean,0x000B
PidLidAutoProcessS,0x0000851A,PtypInteger32,0x0003
PidLidAutoStartCheck,0x00008244,PtypBoolean,0x000B
PidLidBilling,0x00008535,PtypString,0x001F
PidLidBirthdayEventEntryId,0x0000804D,PtypBinary,0x0102
PidLidBirthdayLocal,0x000080DE,PtypTime,0x0040
PidLidBusinessCardCardPicture,0x00008041,PtypBinary,0x0102
PidLidBusinessCardDisplayDefinition,0x00008040,PtypBinary,0x0102
PidLidBusyStatus,0x00008205,PtypInteger32,0x0003
PidLidCalendarType,0x0000001C,PtypInteger32,0x0003
PidLidCategories,0x00009000,PtypMultipleString,0x101F
PidLidCcAttendeesString,0x0000823C,PtypString,0x001F
PidLidChangeHighlight,0x00008204,PtypInteger32,0x0003
PidLidClassification,0x000085B6,PtypString,0x001F
PidLidClassificationDescription,0x000085B7,PtypString,0x001F
PidLidClassificationGuid,0x000085B8,PtypString,0x001F
PidLidClassificationKeep,0x000085BA,PtypBoolean,0x000B
PidLidClassified,0x000085B5,PtypBoolean,0x000B
PidLidCleanGlobalObjectId,0x00000023,PtypBinary,0x0102
PidLidClientIntent,0x00000015,PtypInteger32,0x0003
PidLidClipEnd,0x00008236,PtypTime,0x0040
PidLidClipStart,0x00008235,PtypTime,0x0040
PidLidCollaborateDoc,0x00008247,PtypString,0x001F
PidLidCommonEnd,0x00008517,PtypTime,0x0040
PidLidCommonStart,0x00008516,PtypTime,0x0040
PidLidCompanies,0x00008539,PtypMultipleString,0x101F
PidLidConferencingCheck,0x00008240,PtypBoolean,0x000B
PidLidConferencingType,0x00008241,PtypInteger32,0x0003
PidLidContactCharacterSet,0x00008023,PtypInteger32,0x0003
PidLidContactItemData,0x00008007,PtypMultipleInteger32,0x1003
PidLidContactLinkedGlobalAddressListEntry,0x000080E2,PtypBinary,0x0102
PidLidContactLinkEntry,0x00008585,PtypBinary,0x0102
PidLidContactLinkGlobalAddressListLinkId,0x000080E8,PtypGuid,0x0048
PidLidContactLinkGLobalAddressListLinkState,0x000080E6,PtypInteger32,0x0003
PidLidContactLinkGALLinkState,0x000080E5,PtypMultipleBinary,0x1102
PidLidContactLinkName,0x00008586,PtypString,0x001F
PidLidContactLinkSearchKey,0x00008584,PtypBinary,0x0102
PidLidContactSMPTAddressCache,0x000080E3,PtypMultipleString,0x101F
PidLidContacts,0x0000853A,PtypMultipleString,0x101F
PidLidContactUserField1,0x0000804F,PtypString,0x001F
PidLidContactUserField2,0x00008050,PtypString,0x001F
PidLidContactUserField3,0x00008051,PtypString,0x001F
PidLidContactUserField4,0x00008552,PtypString,0x001F
PidLidConversationActionLas,0x000085CA,PtypTime,0x0040
PidLidConversationActionMaxDeliveryTime,0x000085C8,PtypTime,0x0040
PidLidConversationActionMoveFolderEid,0x000085C6,PtypBinary,0x0102
PidLidConversationActionMove,0x000085C7,PtypBinary,0x0102
PidLidConversationActionVersion,0x000085CB,PtypInteger32,0x0003
PidLidConversationProcessed,0x000085C9,PtypInteger32,0x0003
PidLidCurrentVersion,0x00008552,PtypInteger32,0x0003
PidLidCurrentVersionName,0x00008554,PtypString,0x001F
PidLidDayInterval,0x00000011,PtypInteger16,0x0002
PidLidDayOfMonth,0x00001000,PtypBoolean,0x000B
PidLidDepartment,0x00008010,PtypString,0x001F
PidLidDirectory,0x00008242,PtypString,0x001F
PidLidDistribution,0x0000804C,PtypInteger32,0x0003
PidLidDistributionListMembers,0x00008055,PtypMultipleBinary,0x1102
PidLidDistributionListName,0x00008053,PtypString,0x001F
PidLidDistributionListOneOffMembers,0x00008054,PtypMultipleBinary,0x1102
PidLidDistributionListStream,0x00008064,PtypBinary,0x0102
PidLidEmail1AddressType,0x00008082,PtypString,0x001F
PidLidEmail1DisplayName,0x00008080,PtypString,0x001F
PidLidEmail1EmailAddress,0x00008083,PtypString,0x001F
PidLidEmail1OriginalDisplayName,0x00008084,PtypString,0x001F
PidLidEmail1OriginalEntryId,0x00008085,PtypBinary,0x0102
PidLidEmail2AddressType,0x00008092,PtypString,0x001F
PidLidEmail2DisplayName,0x00008090,PtypString,0x001F
PidLidEmail2EmailAddress,0x00008093,PtypString,0x001F
PidLidEmail2OriginalDisplayName,0x00008094,PtypString,0x001F
PidLidEmail2OriginalEntryId,0x00008095,PtypBinary,0x0102
PidLidEmail3AddressType,0x000080A2,PtypString,0x001F
PidLidEmail3DisplayName,0x000080A0,PtypString,0x001F
PidLidEmail3EmailAddress,0x000080A3,PtypString,0x001F
PidLidEmail3OriginalDisplayName,0x000080A4,PtypString,0x001F
PidLidEmail3OriginalEntryId,0x000080A5,PtypBinary,0x0102
PidLidEndRecurrenceDate,0x0000000F,PtypInteger32,0x0003
PidLidEndRecurrenceTime,0x00000010,PtypInteger32,0x0003
PidLidExceptionReplaceTime,0x00008228,PtypTime,0x0040
PidLidFax1AddressType,0x000080B2,PtypString,0x001F
PidLidFax1EmailAddress,0x000080B3,PtypString,0x001F
PidLidFax1OriginalDisplayName,0x000080B4,PtypString,0x001F
PidLidFax1OriginalEntryId,0x000080B5,PtypBinary,0x0102
